dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
DS005620,alpha,1017,sed2,0.10334844910310131,8.915928003620493,0.002818078586528699,0.8157894736842105,0.6447368421052632,62.0,60.0,38.0
DS005620,alpha,1022,awake,0.17062065656370964,7.858533493957889,0.0046035304145812354,0.8275862068965517,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1022,sed,0.11220306246672908,8.225220841546363,0.0031696956641879617,0.4501915708812261,0.06896551724137931,62.0,90.0,58.0
DS005620,alpha,1022,sed2,0.11881156253317365,6.859261377099203,0.003492395064373243,0.4795321637426901,0.06140350877192982,62.0,60.0,38.0
DS005620,alpha,1024,awake,0.1345841464436729,7.853228361347294,0.003943400264280454,0.8275862068965517,0.5689655172413793,62.0,90.0,58.0
DS005620,alpha,1024,sed,0.10325867323262254,8.357744710835457,0.00279521314350336,0.46551724137931033,0.16666666666666666,62.0,90.0,58.0
DS005620,alpha,1024,sed2,0.10428324366238183,8.18018077225641,0.002921237308218128,0.5116959064327485,0.17543859649122806,62.0,60.0,38.0
DS005620,alpha,1033,awake,0.16936600412066863,4.439071516772741,0.003243183206491628,0.8275862068965517,0.5689655172413793,62.0,90.0,58.0
DS005620,alpha,1033,sed,0.09819507538022786,7.971583861638691,0.0027992715443659697,0.3084291187739463,0.0,62.0,90.0,58.0
DS005620,alpha,1033,sed2,0.09156747441851747,7.95306147657137,0.002257434436862674,0.2953216374269007,0.0,62.0,60.0,38.0
DS005620,alpha,1036,awake,0.14554613891225868,9.292258290485229,0.0044710534871632845,0.8275862068965517,0.5517241379310345,62.0,90.0,58.0
DS005620,alpha,1036,sed,0.10634306239878233,8.156796210375036,0.003109140737867979,0.4655172413793103,0.17672413793103448,62.0,58.488,37.0
DS005620,alpha,1036,sed2,0.10650216968408002,8.974234519659309,0.004791488196955011,0.41228070175438597,0.0,62.0,60.0,38.0
DS005620,alpha,1037,awake,0.14281595257801846,8.712317983740054,0.004894096648593895,0.8275862068965516,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1045,awake,0.1790341315876302,4.062570963179514,0.0029592897451309174,0.8275862068965517,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1045,sed,0.10078023022133897,7.4970924615439,0.0027144240800279166,0.27203065134099613,0.0,62.0,90.0,58.0
DS005620,alpha,1045,sed2,0.10764391747102338,6.652451930671606,0.002824084428106963,0.28362573099415206,0.008771929824561403,62.0,60.0,38.0
DS005620,alpha,1046,awake,0.16180477511304575,5.869863360655708,0.00348437941442747,0.8275862068965517,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1046,sed,0.1414560487339244,7.215660287722567,0.010994290671537997,0.49137931034482757,0.08620689655172414,62.0,90.0,58.0
DS005620,alpha,1046,sed2,0.12258192982810825,6.396622816407271,0.0035661691165550452,0.6578947368421053,0.2631578947368421,62.0,60.0,38.0
DS005620,alpha,1054,awake,0.12227903101399618,8.611614713624602,0.0038128337755596094,0.8275862068965517,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1054,sed,0.102228859241067,7.866474247545323,0.0028733887889655944,0.7241379310344827,0.46551724137931033,62.0,90.0,58.0
DS005620,alpha,1054,sed2,0.11656536893368524,7.8319309896046505,0.0030731269448672485,0.868421052631579,0.6973684210526316,62.0,60.0,38.0
DS005620,alpha,1055,awake,0.1214916922281408,6.533957875562435,0.0031224779748243304,0.8275862068965517,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1055,sed,0.12014175659974266,8.896563221622468,0.005651933492575387,0.6982758620689654,0.3706896551724138,62.0,90.0,58.0
DS005620,alpha,1055,sed2,0.12218908598310509,8.167988387081618,0.00650808223215713,0.7982456140350876,0.5,62.0,60.0,38.0
DS005620,alpha,1057,awake,0.23010494573942503,5.067307283293053,0.003440147932459442,0.8275862068965517,0.7068965517241379,62.0,90.0,58.0
DS005620,alpha,1057,sed,0.11520323802304296,7.826618938298598,0.0034239376341515157,0.3486590038314176,0.0,62.0,90.0,58.0
DS005620,alpha,1057,sed2,0.12400385711242462,7.392286478928362,0.003192907815331152,0.4239766081871345,0.0,62.0,60.0,38.0
DS005620,alpha,1060,awake,0.12723466016208024,7.43692143032849,0.002876823720272526,0.8275862068965517,0.5517241379310345,62.0,90.0,58.0
DS005620,alpha,1060,sed,0.11569655672967209,6.994879591289357,0.0031808004705327435,0.7318007662835249,0.367816091954023,62.0,90.0,58.0
DS005620,alpha,1060,sed2,0.12157526293018117,6.8682958610756515,0.003764717331099774,0.6959064327485381,0.30701754385964913,62.0,60.0,38.0
DS005620,alpha,1061,awake,0.15995999328207225,5.323271177777273,0.003339443873116693,0.8275862068965517,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1061,sed,0.16937969962634425,4.898950338946413,0.0033063218437855355,0.5785440613026819,0.1839080459770115,62.0,90.0,58.0
DS005620,alpha,1061,sed2,0.1558872260750497,6.653523363245573,0.004584721407028233,0.6198830409356725,0.31578947368421056,62.0,60.0,38.0
DS005620,alpha,1062,awake,0.1387983252354556,6.201815396331764,0.0035114911187601105,0.8275862068965517,0.6379310344827587,62.0,90.0,58.0
DS005620,alpha,1062,sed,0.12311731250242386,7.6489727852746325,0.0038346203122864354,0.6245210727969348,0.29310344827586204,62.0,90.0,58.0
DS005620,alpha,1062,sed2,0.12332719816832709,8.237744645587824,0.005632461872130072,0.5380116959064327,0.17543859649122806,62.0,60.0,38.0
DS005620,alpha,1064,awake,0.10287623575896687,9.243430189037271,0.0027295582042207622,0.8275862068965517,0.5517241379310345,62.0,90.0,58.0
DS005620,alpha,1064,sed,0.1362167239601855,7.2346159505984176,0.004439266352438368,0.6436781609195402,0.1954022988505747,62.0,90.0,58.0
DS005620,alpha,1064,sed2,0.1481556747714052,7.043638652069429,0.006906592127015895,0.6549707602339181,0.17543859649122806,62.0,60.0,38.0
DS005620,alpha,1067,awake,0.15531310129238196,8.540823061077838,0.01592435090901137,0.8275862068965516,0.6206896551724138,62.0,90.0,58.0
DS005620,alpha,1067,sed,0.15350861339636448,7.438458980102723,0.006425019742623849,0.9712643678160919,0.9137931034482758,62.0,90.0,58.0
DS005620,alpha,1067,sed2,0.1615315104239586,6.913255537873951,0.006252902624674729,0.9649122807017543,0.9035087719298245,62.0,60.0,38.0
DS005620,alpha,1068,awake,0.10300005418874954,7.558329045494968,0.004072285122496681,0.8275862068965516,0.5172413793103449,62.0,90.0,58.0
DS005620,alpha,1068,sed,0.2815787317860078,6.952240021306535,0.023449940011463794,0.5459770114942528,0.05172413793103448,62.0,90.0,58.0
DS005620,alpha,1068,sed2,0.22285132411947595,7.3127780306575705,0.024640951896849193,0.7280701754385966,0.18421052631578946,62.0,60.0,38.0
