dataset,band,row_index,subject,condition,y,model,score
DS005620,alpha,134,1068,sed2,1,spectral_bandpower,0.998669585982144
DS005620,alpha,135,1071,awake,0,spectral_bandpower,0.16013263185132767
DS005620,alpha,136,1071,sed,1,spectral_bandpower,0.982893903100313
DS005620,alpha,137,1071,sed2,1,spectral_bandpower,0.9873541549095322
DS005620,alpha,138,1074,awake,0,spectral_bandpower,0.15997372274714985
DS005620,alpha,139,1074,sed,1,spectral_bandpower,0.9943791630703908
DS005620,alpha,140,1074,sed2,1,spectral_bandpower,0.9872238247840487
DS005620,alpha,80,1010,awake,0,spectral_all,0.07816564713595574
DS005620,alpha,81,1010,sed,1,spectral_all,0.8176345164917609
DS005620,alpha,82,1010,sed2,1,spectral_all,0.9381319502636305
DS005620,alpha,83,1016,awake,0,spectral_all,0.07543248503131998
DS005620,alpha,84,1016,sed,1,spectral_all,0.6150810085509593
DS005620,alpha,85,1016,sed2,1,spectral_all,0.971168955801887
DS005620,alpha,86,1017,awake,0,spectral_all,0.07789240742956782
DS005620,alpha,87,1017,sed,1,spectral_all,0.8319402281449245
DS005620,alpha,88,1017,sed2,1,spectral_all,0.9757656512290509
DS005620,alpha,89,1022,awake,0,spectral_all,0.07710173299732491
DS005620,alpha,90,1022,sed,1,spectral_all,0.9516378312062254
DS005620,alpha,91,1022,sed2,1,spectral_all,0.9893524362057132
DS005620,alpha,92,1024,awake,0,spectral_all,0.07883775069275385
DS005620,alpha,93,1024,sed,1,spectral_all,0.9758079650324132
DS005620,alpha,94,1024,sed2,1,spectral_all,0.9583662466769005
DS005620,alpha,95,1033,awake,0,spectral_all,0.07226759580468373
DS005620,alpha,96,1033,sed,1,spectral_all,0.36493273678223165
DS005620,alpha,97,1033,sed2,1,spectral_all,0.8090916773013854
DS005620,alpha,98,1036,awake,0,spectral_all,0.0767027040545003
DS005620,alpha,99,1036,sed,1,spectral_all,0.9993589885952552
