dataset,band,row_index,subject,condition,y,model,score
DS005620,alpha,48,1017,sed2,1,spectral_bandpower,0.9146738361395533
DS005620,alpha,49,1022,awake,0,spectral_bandpower,0.14549322305158646
DS005620,alpha,50,1022,sed,1,spectral_bandpower,0.3066203511014392
DS005620,alpha,51,1022,sed2,1,spectral_bandpower,0.19458945242489745
DS005620,alpha,52,1024,awake,0,spectral_bandpower,0.1590837800240732
DS005620,alpha,53,1024,sed,1,spectral_bandpower,0.9396246405014437
DS005620,alpha,54,1024,sed2,1,spectral_bandpower,0.9527313726630884
DS005620,alpha,55,1033,awake,0,spectral_bandpower,0.14683421823282175
DS005620,alpha,56,1033,sed,1,spectral_bandpower,0.3156846348748249
DS005620,alpha,57,1033,sed2,1,spectral_bandpower,0.29281461336133463
DS005620,alpha,58,1036,awake,0,spectral_bandpower,0.15824776996026202
DS005620,alpha,59,1036,sed,1,spectral_bandpower,0.9731520311543383
DS005620,alpha,60,1036,sed2,1,spectral_bandpower,0.9954168657520924
DS005620,alpha,61,1037,awake,0,spectral_bandpower,0.15418939545411736
DS005620,alpha,62,1045,awake,0,spectral_bandpower,0.15993884054702473
DS005620,alpha,63,1045,sed,1,spectral_bandpower,0.9571524322274988
DS005620,alpha,64,1045,sed2,1,spectral_bandpower,0.9208050949692206
DS005620,alpha,65,1046,awake,0,spectral_bandpower,0.1466325704844103
DS005620,alpha,66,1046,sed,1,spectral_bandpower,0.4077639765244145
DS005620,alpha,67,1046,sed2,1,spectral_bandpower,0.37182905672683925
DS005620,alpha,68,1054,awake,0,spectral_bandpower,0.15974059023106973
DS005620,alpha,69,1054,sed,1,spectral_bandpower,0.9909894445745763
DS005620,alpha,70,1054,sed2,1,spectral_bandpower,0.9960714247780399
DS005620,alpha,71,1055,awake,0,spectral_bandpower,0.1598291015456008
DS005620,alpha,72,1055,sed,1,spectral_bandpower,0.810037729444518
DS005620,alpha,73,1055,sed2,1,spectral_bandpower,0.8906640701013834
DS005620,alpha,74,1057,awake,0,spectral_bandpower,0.15928926631666807
DS005620,alpha,75,1057,sed,1,spectral_bandpower,0.7957896550915751
DS005620,alpha,76,1057,sed2,1,spectral_bandpower,0.9414945046862535
DS005620,alpha,77,1060,awake,0,spectral_bandpower,0.13562216989326317
DS005620,alpha,78,1060,sed,1,spectral_bandpower,0.9999993612334747
DS005620,alpha,79,1060,sed2,1,spectral_bandpower,0.9999995756221389
DS005620,alpha,80,1061,awake,0,spectral_bandpower,0.16099283143453988
DS005620,alpha,81,1061,sed,1,spectral_bandpower,0.9704255202554234
DS005620,alpha,82,1061,sed2,1,spectral_bandpower,0.9856978556846991
DS005620,alpha,83,1062,awake,0,spectral_bandpower,0.1610694615217222
DS005620,alpha,84,1062,sed,1,spectral_bandpower,0.9246609147942887
DS005620,alpha,85,1062,sed2,1,spectral_bandpower,0.9505588643862599
DS005620,alpha,86,1064,awake,0,spectral_bandpower,0.15696870433846347
DS005620,alpha,87,1064,sed,1,spectral_bandpower,0.9962054223350918
DS005620,alpha,88,1064,sed2,1,spectral_bandpower,0.9972205471775674
DS005620,alpha,89,1067,awake,0,spectral_bandpower,0.11876469242474853
DS005620,alpha,90,1067,sed,1,spectral_bandpower,0.013299241265668536
DS005620,alpha,91,1067,sed2,1,spectral_bandpower,0.22815541343835502
DS005620,alpha,92,1068,awake,0,spectral_bandpower,0.15863122806669086
DS005620,alpha,93,1068,sed,1,spectral_bandpower,0.9977914118697442
DS005620,alpha,94,1068,sed2,1,spectral_bandpower,0.998669585982144
DS005620,alpha,95,1071,awake,0,spectral_bandpower,0.16013263185132767
DS005620,alpha,96,1071,sed,1,spectral_bandpower,0.982893903100313
DS005620,alpha,97,1071,sed2,1,spectral_bandpower,0.9873541549095322
DS005620,alpha,98,1074,awake,0,spectral_bandpower,0.15997372274714985
DS005620,alpha,99,1074,sed,1,spectral_bandpower,0.9943791630703908
DS005620,alpha,100,1074,sed2,1,spectral_bandpower,0.9872238247840487
DS005620,alpha,40,1010,awake,0,spectral_all,0.07816564713595586
DS005620,alpha,41,1010,sed,1,spectral_all,0.8176345164917609
DS005620,alpha,42,1010,sed2,1,spectral_all,0.9381319502636305
DS005620,alpha,43,1016,awake,0,spectral_all,0.07543248503131998
DS005620,alpha,44,1016,sed,1,spectral_all,0.6150810085509593
DS005620,alpha,45,1016,sed2,1,spectral_all,0.971168955801887
DS005620,alpha,46,1017,awake,0,spectral_all,0.07789240742956782
DS005620,alpha,47,1017,sed,1,spectral_all,0.8319402281449245
DS005620,alpha,48,1017,sed2,1,spectral_all,0.9757656512290509
DS005620,alpha,49,1022,awake,0,spectral_all,0.07710173299732499
DS005620,alpha,50,1022,sed,1,spectral_all,0.9516378312062254
DS005620,alpha,51,1022,sed2,1,spectral_all,0.9893524362057132
DS005620,alpha,52,1024,awake,0,spectral_all,0.07883775069275385
DS005620,alpha,53,1024,sed,1,spectral_all,0.9758079650324132
DS005620,alpha,54,1024,sed2,1,spectral_all,0.9583662466769005
DS005620,alpha,55,1033,awake,0,spectral_all,0.0722675958046837
DS005620,alpha,56,1033,sed,1,spectral_all,0.3649327367822316
DS005620,alpha,57,1033,sed2,1,spectral_all,0.8090916773013852
DS005620,alpha,58,1036,awake,0,spectral_all,0.07670270405450037
DS005620,alpha,59,1036,sed,1,spectral_all,0.9993589885952552
