dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,gamma,2,moderate,0.31544647658405744,14.368326964966155,0.019673545955218766,0.5287356321839081,0.0,20.0,90.0,58.0
Chennu,gamma,2,recovery,0.296307654719626,16.310513539135684,0.018424927710782503,0.7011494252873562,0.3275862068965517,20.0,90.0,58.0
Chennu,gamma,20,baseline,0.26484597884619154,18.967838124494936,0.017157270262583867,0.8275862068965516,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,20,mild,0.27530209519990434,19.140123598207683,0.017328197120514078,0.7931034482758621,0.4482758620689655,20.0,90.0,58.0
Chennu,gamma,20,moderate,0.3074282673152559,17.692054694493763,0.02062244686116679,0.7126436781609194,0.3448275862068966,20.0,90.0,58.0
Chennu,gamma,20,recovery,0.2652810226504543,19.687088192930325,0.017782453025692844,0.7931034482758621,0.4827586206896552,20.0,90.0,58.0
Chennu,gamma,22,baseline,0.26695421789899937,17.882831942267163,0.016072130269584883,0.8275862068965516,0.5862068965517241,20.0,90.0,58.0
Chennu,gamma,22,mild,0.2634450369854078,15.47280310144963,0.017061669604460192,0.5057471264367815,0.06896551724137931,20.0,90.0,58.0
Chennu,gamma,22,moderate,0.3007194642344736,15.151943593161285,0.019254365269549517,0.5114942528735632,0.06896551724137931,20.0,90.0,58.0
Chennu,gamma,22,recovery,0.5477270622934014,5.051795809872003,0.019348362658127196,0.5114942528735632,0.0,20.0,90.0,58.0
Chennu,gamma,23,baseline,0.2929763300015522,19.494072860225202,0.019470828039552926,0.8275862068965517,0.5862068965517241,20.0,90.0,58.0
Chennu,gamma,23,mild,0.34324603811820714,14.526834875480334,0.020783857840330336,0.6091954022988505,0.0,20.0,90.0,58.0
Chennu,gamma,23,moderate,0.27333562728916894,14.602019380257431,0.018685816057806687,0.5229885057471264,0.0,20.0,90.0,58.0
Chennu,gamma,23,recovery,0.2245896275378039,5.333268418058414,0.012890831590501155,0.07471264367816091,0.0,20.0,90.0,58.0
Chennu,gamma,24,baseline,0.27435951529459185,17.68927345519532,0.017448923050650707,0.8275862068965516,0.5344827586206896,20.0,90.0,58.0
Chennu,gamma,24,mild,0.24494072223795474,8.069047919779518,0.013744998939264893,0.367816091954023,0.0,20.0,90.0,58.0
Chennu,gamma,24,moderate,0.2900181514892088,9.331163015979484,0.01734856926232657,0.4712643678160919,0.0,20.0,90.0,58.0
Chennu,gamma,24,recovery,0.31018831451478646,15.347308555009356,0.01930272845560159,0.6724137931034482,0.25862068965517243,20.0,90.0,58.0
Chennu,gamma,25,baseline,0.32282485735556327,13.075503986635951,0.018717229889787145,0.8275862068965517,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,25,mild,0.31888958475129237,13.627351569800636,0.018293252235577574,0.8275862068965517,0.603448275862069,20.0,90.0,58.0
Chennu,gamma,25,moderate,0.35000109026702814,12.967354501901639,0.02038572643559951,0.7931034482758621,0.43103448275862066,20.0,90.0,58.0
Chennu,gamma,25,recovery,0.3527693052801142,10.627031143279071,0.020350463157184254,0.6149425287356322,0.13793103448275862,20.0,90.0,58.0
Chennu,gamma,26,baseline,0.2815333033229988,15.224827537490683,0.019004479561016186,0.8275862068965516,0.5344827586206896,20.0,90.0,58.0
Chennu,gamma,26,mild,0.2735202516580003,13.884272033189557,0.017731882112660392,0.5804597701149427,0.20689655172413793,20.0,90.0,58.0
Chennu,gamma,26,moderate,0.28638761299929993,14.68963214214434,0.017603709696814313,0.7758620689655171,0.41379310344827586,20.0,90.0,58.0
Chennu,gamma,26,recovery,0.27586019848528925,14.452689667443677,0.016620107824466282,0.7298850574712643,0.41379310344827586,20.0,90.0,58.0
Chennu,gamma,27,baseline,0.2988527635295258,17.674321194589123,0.017782620157021367,0.8275862068965516,0.5689655172413793,20.0,90.0,58.0
Chennu,gamma,27,mild,0.3632861776040107,11.678514938173922,0.02036125922126754,0.5632183908045977,0.0,20.0,90.0,58.0
Chennu,gamma,27,moderate,0.29548527058023794,16.06687191886811,0.018122032823689002,0.6379310344827585,0.15517241379310345,20.0,90.0,58.0
